,File,Mask,TS_Data,date,extent,obs
32,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20131201-20131231_75N060W_vcmcfg_v10_c201605131341//SVDNB_npp_20131201-20131231_75N060W_vcmcfg_v10_c201605131341.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20131201-20131231_75N060W_vcmcfg_v10_c201605131341//SVDNB_npp_20131201-20131231_75N060W_vcmcfg_v10_c201605131341.cf_cvg.tif,1,12/1/13,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
33,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20131201-20131231_75N060W_vcmcfg_v10_c201605131341//SVDNB_npp_20131201-20131231_75N060W_vcmcfg_v10_c201605131341.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20131201-20131231_75N060W_vcmcfg_v10_c201605131341//SVDNB_npp_20131201-20131231_75N060W_vcmcfg_v10_c201605131341.cf_cvg.tif,0,12/1/13,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
34,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20170601-20170630_75N060W_vcmcfg_v10_c201707021700//SVDNB_npp_20170601-20170630_75N060W_vcmcfg_v10_c201707021700.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20170601-20170630_75N060W_vcmcfg_v10_c201707021700//SVDNB_npp_20170601-20170630_75N060W_vcmcfg_v10_c201707021700.cf_cvg.tif,1,6/1/17,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
35,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20170601-20170630_75N060W_vcmcfg_v10_c201707021700//SVDNB_npp_20170601-20170630_75N060W_vcmcfg_v10_c201707021700.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20170601-20170630_75N060W_vcmcfg_v10_c201707021700//SVDNB_npp_20170601-20170630_75N060W_vcmcfg_v10_c201707021700.cf_cvg.tif,0,6/1/17,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
36,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20130501-20130531_75N060W_vcmcfg_v10_c201605131256//SVDNB_npp_20130501-20130531_75N060W_vcmcfg_v10_c201605131256.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20130501-20130531_75N060W_vcmcfg_v10_c201605131256//SVDNB_npp_20130501-20130531_75N060W_vcmcfg_v10_c201605131256.cf_cvg.tif,1,5/1/13,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
37,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20130501-20130531_75N060W_vcmcfg_v10_c201605131256//SVDNB_npp_20130501-20130531_75N060W_vcmcfg_v10_c201605131256.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20130501-20130531_75N060W_vcmcfg_v10_c201605131256//SVDNB_npp_20130501-20130531_75N060W_vcmcfg_v10_c201605131256.cf_cvg.tif,0,5/1/13,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
38,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20120501-20120531_75N060W_vcmcfg_v10_c201605121458//SVDNB_npp_20120501-20120531_75N060W_vcmcfg_v10_c201605121458.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20120501-20120531_75N060W_vcmcfg_v10_c201605121458//SVDNB_npp_20120501-20120531_75N060W_vcmcfg_v10_c201605121458.cf_cvg.tif,1,5/1/12,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
39,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20120501-20120531_75N060W_vcmcfg_v10_c201605121458//SVDNB_npp_20120501-20120531_75N060W_vcmcfg_v10_c201605121458.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20120501-20120531_75N060W_vcmcfg_v10_c201605121458//SVDNB_npp_20120501-20120531_75N060W_vcmcfg_v10_c201605121458.cf_cvg.tif,0,5/1/12,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
40,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20140701-20140731_75N060W_vcmcfg_v10_c201506231100//SVDNB_npp_20140701-20140731_75N060W_vcmcfg_v10_c201506231100.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20140701-20140731_75N060W_vcmcfg_v10_c201506231100//SVDNB_npp_20140701-20140731_75N060W_vcmcfg_v10_c201506231100.cf_cvg.tif,1,7/1/14,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
41,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20140701-20140731_75N060W_vcmcfg_v10_c201506231100//SVDNB_npp_20140701-20140731_75N060W_vcmcfg_v10_c201506231100.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20140701-20140731_75N060W_vcmcfg_v10_c201506231100//SVDNB_npp_20140701-20140731_75N060W_vcmcfg_v10_c201506231100.cf_cvg.tif,0,7/1/14,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
